variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_cvar,2025-04-14,36942.49122314905,36942.491223149016,0.0,0.0,0.0,3.571155299253448e-11,1.0168643704844271e-11,4491.037576882321,1740.4181203301132,1716.962721658144,0
q2_cvar,2025-04-15,36703.47892688529,36703.47892688525,0.0,0.0,0.0,4.8073100611389917e-11,1.1480150163833967e-11,7290.031236294662,1716.962721658144,1950.1105516588452,0
q2_cvar,2025-04-16,36897.15598548434,36897.15598548431,0.0,0.0,0.0,4.5664077408247296e-11,1.3671286325234178e-11,675.5444376827922,1950.1105516588452,1775.8152147751307,0
q2_cvar,2025-04-17,36128.74258438991,36128.74258438985,0.0,0.0,0.0,6.723721979184915e-11,1.6668555424814713e-11,3248.9695929248687,1775.8152147751307,1846.83075188648,0
q2_cvar,2025-04-18,10733.34760901092,10733.347609010903,0.0,0.0,0.0,1.7659727641165798e-11,5.6604044368357975e-12,17682.600475473304,1846.83075188648,1969.483567233237,0
q2_cvar,2025-04-19,10764.111409217245,10764.111409217236,0.0,0.0,0.0,1.0113704096426089e-11,3.578470852971805e-12,17302.224628681073,1969.483567233237,1915.4641769104755,0
q2_cvar,2025-04-20,35806.18337479118,35806.183374791144,0.0,0.0,0.0,4.11193018523548e-11,1.1974865543606938e-11,3391.1827071365897,1915.4641769104755,2055.741072987785,0
q2_cvar,2025-04-21,34944.87111982463,34944.87111982457,0.0,0.0,0.0,5.377117062721481e-11,1.5705658995557314e-11,6935.435960138661,2055.741072987785,1614.1346499893846,0
q2_cvar,2025-04-22,35565.2159173229,35565.21591732285,0.0,0.0,0.0,5.3213610629043726e-11,1.4482415267025315e-11,2731.878442189104,1614.1346499893846,1809.1065939216824,0
q2_cvar,2025-04-23,36098.00144712621,36098.00144712615,0.0,0.0,0.0,4.245880314002192e-11,1.0944800621359718e-11,3128.3696241306,1809.1065939216824,2434.9082683564893,0
q2_cvar,2025-04-24,34465.20637226878,34465.20637226873,0.0,0.0,0.0,5.5407828714049135e-11,1.5713985668242003e-11,7486.84948241202,2434.9082683564893,1768.4713088782808,0
q2_cvar,2025-04-25,9914.327032217416,9914.3270322174,0.0,0.0,0.0,1.887203571193652e-11,5.416556092541214e-12,21377.124069399928,1768.4713088782808,1553.6403175122637,0
q2_cvar,2025-04-26,10406.684303083,10118.525595591129,0.0,0.0,0.0,288.15870749187656,113.40634959326265,23386.86853638564,1553.6403175122637,1200.0,0
q2_cvar,2025-04-27,34832.21862272369,32986.16623491724,0.0,0.0,0.0,1846.0523878064528,299.00708252258505,3500.83690252835,1200.0,1344.1768881481476,0
q2_cvar,2025-04-28,57403.67154590936,33557.661141373304,0.0,0.0,0.0,23846.01040453607,4014.485177106947,16.571419047629874,1344.1768881481476,1361.5397920370362,0
q2_cvar,2025-04-29,34216.788266335,34216.78826633495,0.0,0.0,0.0,6.326947549206707e-11,1.5966894473251614e-11,6832.466060971986,1361.5397920370362,1696.5431842158305,0
q2_cvar,2025-04-30,33328.468437151365,33328.46843715132,0.0,0.0,0.0,3.9582534805404633e-11,1.0661915794685228e-11,4000.45903349611,1696.5431842158305,1832.4422805382933,0
q2_cvar,2025-05-01,46843.29934816441,33986.84991023415,0.0,0.0,0.0,12856.449437930252,2570.1003943297114,3367.127973046626,1832.4422805382933,1221.93075,0
q2_cvar,2025-05-02,22457.909200198384,10506.271770410667,0.0,0.0,0.0,11951.63742978771,3004.7867315531325,11916.862727777789,1221.93075,1200.0,0
q2_cvar,2025-05-03,15947.480303809823,11230.038552126112,0.0,0.0,0.0,4717.4417516837175,1192.0575796309547,16814.9133258182,1200.0,1200.0,0
q2_cvar,2025-05-04,38758.84347205516,38719.0177271051,0.0,0.0,0.0,39.82574495005193,5.996950000013225,6503.29285082835,1200.0,1267.1912220751556,0
q2_cvar,2025-05-05,39463.57066385689,39388.30752459408,0.0,0.0,0.0,75.2631392628299,34.13135511299802,2327.1775365574786,1267.1912220751556,1522.0183888756617,0
q2_cvar,2025-05-06,39582.11780307303,38397.29659666945,0.0,0.0,0.0,1184.8212064035972,238.01766313096297,4671.115661519498,1522.0183888756617,1356.0209348545004,0
q2_cvar,2025-05-07,40994.08234986068,39584.81149393982,0.0,0.0,0.0,1409.2708559208622,284.1643341104907,3246.198901899611,1356.0209348545004,1312.5355312037043,0
q2_cvar,2025-05-08,40182.14563973448,40182.14563973442,0.0,0.0,0.0,4.381801210762149e-11,1.1245004927218359e-11,3193.2144604210225,1312.5355312037043,1921.4477206881595,0
q2_cvar,2025-05-09,12371.24440170188,12371.244401701864,0.0,0.0,0.0,1.445228958729672e-11,4.658495811327157e-12,16849.789686133903,1921.4477206881595,2189.035737341269,0
q2_cvar,2025-05-10,12186.88036663784,12186.88036663782,0.0,0.0,0.0,1.7667295848511343e-11,5.595968133320639e-12,13704.046783744856,2189.035737341269,1504.5030458680922,0
q2_cvar,2025-05-11,39886.711709821975,39557.33827898445,0.0,0.0,0.0,329.3734308375457,49.60190833334578,2844.1850556437494,1504.5030458680922,1873.0677021836857,0
q2_cvar,2025-05-12,40157.68193637591,40157.681936375855,0.0,0.0,0.0,5.3566916347058676e-11,1.2979506358590244e-11,8519.27071719431,1873.0677021836857,2211.8715793650777,0
q2_cvar,2025-05-13,39157.00121154605,39157.00121154604,0.0,0.0,0.0,3.916023350036824e-11,1.013900075008678e-11,6073.658421325256,2211.8715793650777,2401.0895237034497,0
q2_cvar,2025-05-14,38817.618105202135,38817.6181052021,0.0,0.0,0.0,4.4951977473672856e-11,1.0513812043200232e-11,6725.12906796929,2401.0895237034497,1971.791228827643,0
q2_cvar,2025-05-15,39821.66467146937,39821.66467146932,0.0,0.0,0.0,5.604104774681318e-11,1.377242764277753e-11,5411.984893097973,1971.791228827643,3097.713896451931,0
q2_cvar,2025-05-16,11944.436940392525,11944.4369403925,0.0,0.0,0.0,2.092157802557892e-11,5.994760243765995e-12,22743.13036489801,3097.713896451931,2307.109388527337,0
q2_cvar,2025-05-17,12160.239335527309,12160.239335527283,0.0,0.0,0.0,2.9838034570905945e-11,7.869177531816263e-12,14805.664949860084,2307.109388527337,2121.539079285718,0
q2_cvar,2025-05-18,38552.1617127042,38552.16171270414,0.0,0.0,0.0,4.3125578746971975e-11,1.2392586956622154e-11,3244.399566646181,2121.539079285718,2675.043427965248,0
q2_cvar,2025-05-19,38095.373029694914,38095.37302969489,0.0,0.0,0.0,3.352015487401161e-11,9.600986672353427e-12,9414.943493539758,2675.043427965248,2847.2793366297674,0
q2_cvar,2025-05-20,37795.87085988545,37795.87085988541,0.0,0.0,0.0,4.664145913935158e-11,1.3283818489639998e-11,2167.3557320278123,2847.2793366297674,2349.1445292688304,0
q2_cvar,2025-05-21,38386.207382209046,38386.207382209,0.0,0.0,0.0,5.828257210183095e-11,1.3591350267461166e-11,5882.980440389338,2349.1445292688304,2579.782962791004,0
q2_cvar,2025-05-22,38276.96902828439,38276.969028284366,0.0,0.0,0.0,3.234253731498882e-11,9.851008897499014e-12,4860.677720011483,2579.782962791004,3906.441489145757,0
q2_cvar,2025-05-23,11873.893002980629,11873.893002980603,0.0,0.0,0.0,2.3807326332558886e-11,6.0595972684041036e-12,18094.97955408922,3906.441489145757,3292.858358935716,0
q2_cvar,2025-05-24,12701.29129952092,12701.291299520904,0.0,0.0,0.0,1.742259314596595e-11,4.235722883549897e-12,21079.06121970224,3292.858358935716,3465.173365655636,0
q2_cvar,2025-05-25,37845.85511209346,37845.85511209343,0.0,0.0,0.0,3.5206959347888755e-11,1.0027090269204564e-11,7181.83196446209,3465.173365655636,3796.4226909220897,0
q2_cvar,2025-05-26,37162.38389007757,37162.38389007753,0.0,0.0,0.0,4.8956050768822477e-11,1.2660095194405583e-11,664.3048744495032,3796.4226909220897,3288.862897884442,0
q2_cvar,2025-05-27,36886.01366976515,36828.89779489844,0.0,0.0,0.0,57.11587486670811,29.88013333334543,5126.577595191836,3288.862897884442,3532.736484329702,0
q2_cvar,2025-05-28,36995.98208234711,36907.243949013726,0.0,0.0,0.0,88.73813333339432,43.32916666668146,953.7494811287612,3532.736484329702,3986.670413323128,0
q2_cvar,2025-05-29,37474.03572734787,36947.09199436655,0.0,0.0,0.0,526.943732981308,106.19172676058442,2.0296428571656837,3986.670413323128,3294.820703759515,0
q2_cvar,2025-05-30,12661.069072444196,12661.06907244417,0.0,0.0,0.0,2.8339439683833232e-11,9.14468500923249e-12,17980.513648677257,3294.820703759515,3680.443258942204,0
q2_cvar,2025-05-31,12645.629014193162,12087.397428409342,0.0,0.0,0.0,558.2315857838173,197.92388885010416,16171.549018261912,3680.443258942204,3826.83738404259,0
q2_cvar,2025-06-01,108530.7012277908,40913.814255686855,0.0,0.0,0.0,67616.88697210394,12462.469933071374,14.552111904766132,3826.83738404259,1571.1215945370368,0
q2_cvar,2025-06-02,82940.98231765578,43368.9542545794,0.0,0.0,0.0,39572.02806307644,7866.492090964395,27.139276190485997,1571.1215945370368,1234.9135273148145,0
